License No.,Company Name,Dispensing or not?,Schedule of Chm (S1/S2),Company Address,External Packing,Revised Date
CR-2003-00062,NAM ON HONG,No,S2,"FLAT/RM A9, G/F, LUCKY COMMERCIAL CENTRE, 103-109 DES VOEUX ROAD WEST, SAI YING PUN, HONG KONG",No,2017-10-06
CR-2003-00063,CHANG KIANG MEDICINE CO.,Yes,S1 & S2,"SHOP NO M70, FORTUNE CITY ONE MARKET, SHA TIN, NT",No,2017-10-06
CR-2003-00065,WONG'S HERBALIST,Yes,S2,"FLAT A, COCKLOFT, CHEONG TAI COMMERCIAL BUILDING, 60-66 WING LOK ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00066,YUEN SANG HONG COMPANY LIMITED,Yes,S1 & S2,"G/F, 194 DES VOEUX RD WEST, HONG KONG",No,2017-10-06
CR-2003-00069,PAK SENG TONG,Yes,S1 & S2,"G/F, 13 TO KWA WAN RD, KOWLOON",No,2017-10-06
CR-2003-00072,WING TAI LUNG GINSENG LIMITED,No,S2,"FLAT/RM 103, 1/F, 44 BONHAM STRAND WEST, HK",No,2017-10-06
CR-2003-00073,HANG LUNG TRADING CO.,No,S2,"G/F, ONE PACIFIC HEIGHTS, 30 KO SHING STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00077,SUN WING ON MEDICINE COMPANY LIMITED,Yes,S1 & S2,"G/F, M/F, 3/F, 17 JERVOIS STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00081,MAN HING CHINA MEDICINES COMPANY,Yes,S1 & S2,"SHOP D2, G/F, LUNG ON BLDG, 45 UN CHAU ST, KOWLOON",No,2017-10-06
CR-2003-00087,MING FAI MEDICINE CO.,Yes,S1 & S2,"G/F, 507 QUEEN'S RD WEST, HONG KONG",No,2017-10-06
CR-2003-00089,PROSPEROUS GINSENG LIMITED,No,S2,"G/F, CHAO'S BUILDING, 143 BONHAM STRAND EAST, HK",No,2017-10-06
CR-2003-00092,HANG LEE TRADING COMPANY,No,S2,"SHOP 2, G/F, NO 213 QUEEN'S ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00093,HUNG ON MEDICINE CO.,Yes,S2,"G/F, 23 LUEN ON ST, KWUN TONG, KOWLOON",No,2017-10-06
CR-2003-00094,CHUNG KING,Yes,S2,"G/F, 7 TSZ WAH LANE, TSZ WAN SHAN, KOWLOON",No,2017-10-06
CR-2003-00099,YUEN WO BIRDS' NESTS COMPANY (O/B WING HING LOONG SWALLOW NEST COMPANY LIMITED),No,S2,"G/F, 372 QUEEN'S ROAD CENTRAL, HONG KONG",No,2017-10-06
CR-2003-00104,YUEN FAT CHEUNG MEDICINE AND LAI KAM FAT CHINESE MEDICINE PRACTIONER AND BONE SETTER CLINIC,Yes,S1 & S2,"STALL NO. 9, FU NING GARDEN MARKET, TSEUNG KWAN O, N.T.",No,2017-10-06
CR-2003-00106,YUE FAT GINSENG & MEDICINE CO.,Yes,S2,"FLAT/RM 4K, G/F, HOP SHING BLDG, 97-99 PAK TAI ST, KOWLOON",No,2017-10-06
CR-2003-00110,HUNG SANG MEDICINE CO.,Yes,S1 & S2,"G/F, 41 TAI CHEUNG ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00113,CHUNG SHING MEDICINE CO.,Yes,S1 & S2,"G/F, 55A PEI HO ST, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-00114,YU CHEONG MEDICINE CO.,Yes,S2,"G/F, 9A WAI YI STREET, TAI PO MARKET, N.T.",No,2017-10-06
CR-2003-00118,CHUNG HING GINSENG SEAFOOD COMPANY,Yes,S1 & S2,"G/F, SHOP A8, 43 UN CHAU STREET, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-00120,TAI ON MEDICINE CO.,Yes,S1 & S2,"SHOP 31, G/F, GARDEN RIVERA, 20-30 TAI CHUNG KIU ROAD, SHA TIN, N.T.",No,2017-10-06
CR-2003-00122,CHINESE GOODS CENTRE LIMITED,Yes,S1 & S2,"G/F - 2/F, 395 KING'S RD, NORTH POINT, HONG KONG",No,2017-10-06
CR-2003-00123,CHINESE HERBS & PATENT MEDICINE SPECIALITY STORE (O/B CHINESE GOODS CENTRE LIMITED),Yes,S1 & S2,"G/F, 206 SHAU KEI WAN ROAD, HONG KONG",No,2017-10-06
CR-2003-00125,HANG ON TAI HERBAL CO.,Yes,S1 & S2,"G/F, TUNG NING BLDG, 253 DES VOEUX RD C, HONG KONG",No,2017-10-06
CR-2003-00126,YUE FUNG GINSENG & MEDICINE CO.,Yes,S2,"G/F, NO. 51 WO FUNG ST, LUEN WO HUI, FANLING, N.T.",No,2017-10-06
CR-2003-00127,KOREA RED GINSENG (CHINA) COMPANY LIMITED,No,S2,"22/F, YUE THAI COMMERCIAL BUILDING, 128 CONNAUGHT ROAD CENTRAL, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00128,"KWONG TACK CHEONG GINSENG CO., LIMITED",No,S2,"22/F, YUE THAI COMMERCIAL BUILDING, 128 CONNAUGHT ROAD CENTRAL, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00130,HIP SENG CHEUNG GINSENG HONG (O/B SOURCEFIT LIMITED),No,S2,"G/F, 10 CONNAUGHT ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00133,MAN WO MEDICINE FIRM,Yes,S2,"G/F, 57 WO FUNG ST, FANLING, N.T.",No,2017-10-06
CR-2003-00134,HING FAT MEDICINE CO.,Yes,S1 & S2,"G/F, 22 SHEUNG FUNG ST, FUNG WONG VILLAGE, KOWLOON",No,2017-10-06
CR-2003-00144,"MAN HING DRIED MARINE PRODUCTS CO., LIMITED",No,S2,"G/F, 134A DES VOEUX RD W, HONG KONG",No,2017-10-06
CR-2003-00149,SUN WAH GINSENG & ANTLER COMPANY,Yes,S1 & S2,"G/F, HONG TAI BUILDING, 332 SHAU KEI WAN RD, HONG KONG",No,2017-10-06
CR-2003-00150,KAI ON MEDICINE CO.,Yes,S2,"NO 112, G/F, SHUN WAH HSE, LOK WAH EST, NGAU TAU KOK, KWUN TONG, KOWLOON",No,2017-10-06
CR-2003-00154,SHUN WOO HING GINSENG MEDICINE COMPANY LIMITED,No,S2,"G/F, GOLDFIELD BLDG, 44 CONNAUGHT ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00158,BAO REN TANG HEALTH FOODSTUFF CO.,Yes,S1 & S2,"REAR PORTION, COCKLOFT, 26 SAN FAT STREET, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-00159,PUI LOK COMPANY,No,S2,"RM 5B3, G/F, HANG SHUN BLDG, 37-39 TONKIN ST, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-00160,WING KEE MEDICINE CO.,Yes,S1 & S2,"G/F, NO 81 SAN SHING AVENUE, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-00161,CHEUNG SHING MEDICAL CO.,Yes,S1 & S2,"FLAT/RM S121-123, 1/F, TAI SHING ST MARKET, 121 CHOI HUNG ROAD, WONG TAI SIN, KLN",No,2017-10-06
CR-2003-00164,HANG CHEONG GINSENG HONG CO.,Yes,S1 & S2,"SHOP 5, 82-84 NGA TSIN LONG RD, KOWLOON CITY, KOWLOON",No,2017-10-06
CR-2003-00166,TAI HING MAN CHUN TONG,No,S2,"STALL NO 19, TAI HING EST MKT, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00168,TUNG SHING GINSENGAND SEAFOOD COMPANY,Yes,S1 & S2,"G/F, SUN WING HSE, 61C ON NING RD, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00169,TAI KWONG MING MEDICINE CO.,Yes,S1 & S2,"G/F, 8 LUEN SHING ST, FANLING, N.T.",No,2017-10-06
CR-2003-00171,WEN SHIH TRADING COMPANY (O/B WEN SHIH (HOLDING) COMPANY LIMITED),No,S2,"FLAT/RM 1014, 10/F, HING WAI CENTRE, 7 TIN WAN PRAYA ROAD, ABERDEEN, HONG KONG",No,2017-10-06
CR-2003-00174,WAH SHING CO.,Yes,S1 & S2,"G/F, 27 ARGYLE ST, KOWLOON",No,2017-10-06
CR-2003-00176,KONG SAI CHUK LAM TSZ TONG LUNG PAI MEDICAL,Yes,S1 & S2,"SHOP S15, 2/F, TAI HING COMMERCIAL CENTRE, TAI HING ESTATE, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00177,WING FUNG HONG,Yes,S1 & S2,"G/F, 117 HOI PAI ST, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00183,HEALTHY CHINESE MEDICINE CONSULTATION CENTRE,No,S2,"FLAT/RM 911, 9/F, FORTUNE COMMERCIAL BUILDING, 362 SHA TSUI ROAD, TSUEN WAN, NT",No,2017-10-06
CR-2003-00185,LUEN HING MEDICINE CO.,Yes,S2,"NO 157, EASTERN PLAZA, 111 CHAI WAN RD, HONG KONG",No,2017-10-06
CR-2003-00186,CHUN CHO TONG,Yes,S1 & S2,"FLAT/RM 11, G/F, TROPICANA SHOPPING CENTRE, 110 LUNG CHEUNG ROAD, WONG TAI SIN, KOWLOON",No,2017-10-06
CR-2003-00188,TAI TAK (SO KEE) MARINE PRODUCTS,No,S2,"G/F, NO 15 TSE MEI ALLEY, DES VOEUX RD W, HONG KONG",No,2017-10-06
CR-2003-00189,"EHERBS (O/B WING HING LUI WO CO., LIMITED)",No,S2,"FLAT/RM A, 1/F, HANG FAT TRADING HOUSE, 52 BONHAM STRAND WEST, HONG KONG",No,2017-10-06
CR-2003-00190,KWONG YUE GINSENG,Yes,S2,"G/F, 163 QUEEN'S RD W, HONG KONG",No,2017-10-06
CR-2003-00191,WING FUNG MED CO.,Yes,S1 & S2,"SHOP C, 73 BERWICK STREET, SHEK KIP MEI, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-00193,YUEN CHEONG MARINE PRODUCT,No,S2,"G/F, 294 CASTLE PEAK RD, CHEUNG SHA WAN, KOWLOON",No,2017-10-06
CR-2003-00198,WAH TAK GINSENG HONG LIMITED,No,S2,"FLAT/RM D, G/F, GOLDEN SUN CTR, 59-67 BONHAM STRAND WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00199,YAN TAK TAI KEE CO.,No,S2,"G/F, 58 DES VOEUX RD W, HONG KONG",No,2017-10-06
CR-2003-00200,SANG LEE GINSENG ANTLER & DRY SEAFOOD LIMITED,No,S2,"FLAT/RM 6G, 6/F, CHEONG MING BUILDING, 86 ARGYLE STREET, MONG KOK, KOWLOON",No,2017-10-06
CR-2003-00206,FUNG WONG GINSENG MEDICINE CO.,Yes,S2,"G/F, 28 SHEUNG FUNG ST, FUNG WONG SAN TSUEN, KOWLOON",No,2017-10-06
CR-2003-00207,WAI KIU CHINESE & WESTERN MEDICINE HONG,Yes,S1 & S2,"G/F, 61 PO HEUNG ST, TAI PO, N.T.",No,2017-10-06
CR-2003-00209,CHEUNG KAU MEDICINE COMPANY,Yes,S1 & S2,"G/F, 25 NAM SHING ST, TAI PO MKT, N.T.",No,2017-10-06
CR-2003-00211,SUN CHUI MEDICINE CO.,Yes,S1 & S2,"G/F, NO.71 SAN TIN VILLAGE, TAI WAI, SHA TIN, N.T.",No,2017-10-06
CR-2003-00213,MING LEE,No,S2,"SHOP L1-3, REGENTVILLE PHASE 1 SHOPPING ARCADE, 8 WO MUN ST, LUEN WO HUI, FANLING, N.T.",No,2017-10-06
CR-2003-00216,"PO LEE WAH GINSENG CO., LIMITED",No,S2,"G/F, 137 WING LOK STREET, HONG KONG",No,2017-10-06
CR-2003-00217,KAM LAI FLORIST,Yes,S1 & S2,"FLAT/RM 113, 1/F, TSUI PING ESTATE MARKET, KWUN TONG, KL",No,2017-10-06
CR-2003-00218,YUEN SANG TONG,Yes,S1 & S2,"G/F, 65 FAU TSOI ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00219,SHING TAI GINSENG COMPANY LIMITED,No,S2,"G/F, 116-118 WING LOK STREET WEST, HONG KONG",No,2017-10-06
CR-2003-00221,TAI HING BIRD'S NEST SHOP,No,S2,"SHOP G40-41, G/F, SMARTLAND, 16 TSUEN WAH STREET, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00222,HOP MEI HONG,Yes,S2,"SHOP A248, 1/F, EAST ASIA SHOPPING CTR, 50 TEXACO RD, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00224,TUNG FONG MEDICINE COMPANY,Yes,S1 & S2,"G/F, 107 HING LUNG MAIN STREET, CHEUNG CHAU, HONG KONG",No,2017-10-06
CR-2003-00226,HAI SANG HONG MARINE FOODSTUFFS LIMITED,No,S2,"G/F, SINGGA COMMERCIAL CENTRE, 149 CONNAUGHT ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00229,YIU KWONG HO,No,S2,"G/F, 35 KO SHING STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00230,LUEN FAT HONG,No,S2,"FLAT/RM 502, 5/F, EVERPROFIT COMMERCIAL BUILDING, 34-36 KO SHING STREET, HONG KONG",No,2017-10-06
CR-2003-00231,NEW GOLD SOUND MEDICINE CO.,Yes,S1 & S2,"NO. 19, PODIUM, LOONG SHAN MANSION, TAIKOO SHING, HONG KONG",No,2017-10-06
CR-2003-00242,WING WOO HING,Yes,S2,"G/F, 86 WING LOK ST EAST, HONG KONG",No,2017-10-06
CR-2003-00243,TIN SANG MEDICINE CO.,Yes,S1 & S2,"FT 7, G/F, 2 SHAU KEI WAN MAIN ST EAST, HK",No,2017-10-06
CR-2003-00245,KUEN CHEONG 'CHOW SANG KEE',Yes,S1 & S2,"FLAT/RM S18, 3/F, TUNG LUNG HOUSE, TAI HANG TUNG ESTATE, KOWLOON",No,2017-10-06
CR-2003-00248,KIN WAH,No,S2,"SD114, 1/F, LUEN WO HUI MKT, 9 WO MUN ST, GRAND REGENTVILLE, FANLING, N.T.",No,2017-10-06
CR-2003-00249,PO LING TONG,Yes,S1 & S2,"SHOP 1, G/F, UNION PARK CENTRE, 771-775 NATHAN RD, MONG KOK, KOWLOON",No,2017-10-06
CR-2003-00250,FU WAH SHAN MEDICINE COMPANY,No,S2,"SHOP 123, G/F, EASTERN PLAZA, 111 CHAI WAN ROAD, HONG KONG",No,2017-10-06
CR-2003-00251,NAM SANG MEDICINE CO.,Yes,S2,"G/F, 12A SHEK MAN PATH, TAI LOONG ST, U/KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-00252,YING SAU TONG,Yes,S2,"1-2 SUN LAU WANG ST, SHA TAU KOK, N.T.",No,2017-10-06
CR-2003-00253,LEI TUNG CHINESE MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 204, LEI TUNG COMM CTR PH1, LEE TUNG EST, AP LEI CHAU, HONG KONG",No,2017-10-06
CR-2003-00254,CHUNG KIU MEDICINE CO.,Yes,S1 & S2,"SHOP A, G/F, 1 PENNINGTON ST, CAUSEWAY BAY, HONG KONG",No,2017-10-06
CR-2003-00260,WEALTH GINSENG HONG,No,S2,"G/F & 1/F, 145 WING LOK ST, HK",No,2017-10-06
CR-2003-00263,WING SING SUN KEE DRIED SEAFOOD COMPANY LIMITED,No,S2,"GR/F, 23 SUTHERLAND STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00267,MAN HING MEDICINE HONG,Yes,S1 & S2,"G/F, 78 MEI KING ST, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-00268,WANG FAT SWALLOW NEST COMPANY,Yes,S1 & S2,"G/F, 24A, HONELEY COURT, 99-110 TUEN MUN HEUNG SZE WUI RD, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00269,WING CHEONG MEDICINE CO.,Yes,S1 & S2,"SHOP NO 7, G/F, KWAI HING EST ARCADE, N.T.",No,2017-10-06
CR-2003-00273,TUNG YAN CHINESE MEDICINE CO.,Yes,S2,"G/F, 15 FU SHIN STREET, TAI PO MARKET, N.T.",No,2017-10-06
CR-2003-00274,JI SHENG MEDICINE CO.,Yes,S1 & S2,"SHOP NO. 227 A2, LEVEL 2, PLOVER COVE GARDEN, 3 PLOVER COVE ROAD, TAI PO, N.T.",No,2017-10-06
CR-2003-00276,HOP SHING TRADING COMPANY,No,S2,"FLAT/RM 201A, 2/F, HA LUNG BLDG, 25-29 KO SHING ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00277,WING FUNG CHARTER MEDICINE CO.,Yes,S2,"6/F, PARKVIEW COMMERCIAL HOUSE, 120 ABERDEEN MAIN ROAD, ABERDEEN, HONG KONG",No,2017-10-06
CR-2003-00278,TAI YUEN MEDICINE CO.,Yes,S1 & S2,"G/F, 23 SAN TSOI ST, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-00285,YUE LOONG HO LIMITED,No,S2,"G/F, 136-138 DES VOEUX RD WEST, HONG KONG",No,2017-10-06
CR-2003-00286,TUNG HING TAI KEE,No,S2,"G/F, 178-180 DES VOEUX RD WEST, HONG KONG",No,2017-10-06
CR-2003-00289,"SUN LAN HONG (O/B SUN MING CHU CO., LIMITED)",No,S2,"24-26 HILLIER ST, HONG KONG",No,2017-10-06
CR-2003-00291,"KWOK SHING HONG MEDICINE CO., LIMITED",No,S2,"G/F, 33 KO SHING STREET, SHEUNG WAN, HK",No,2017-10-06
CR-2003-00292,DRAGON KING COMPANY,No,S2,"G/F, 22 WING LOK STREET, HONG KONG",No,2017-10-06
CR-2003-00293,CHUNG HING GINSENG MARINE PRODUCTS CO.,Yes,S1 & S2,"G/F, 9 MERCURY ST, NORTH POINT, HONG KONG",No,2017-10-06
CR-2003-00294,MAN CHEONG MEDICINE CO.,Yes,S2,"NO 112, 1/F, HING WAH SHOPPING CTR(1), WAN TSUI RD, CHAI WAN, HONG KONG",No,2017-10-06
CR-2003-00295,WAH TAI MEDICINE,Yes,S1 & S2,"FLAT/RM 9-10, G/F, PO KAI MANSION, 2-20 WO YI HOP ROAD, KWAI CHUNG, NT",No,2017-10-06
CR-2003-00296,HERBALIST CHENG CHIAO NGOK,Yes,S1 & S2,"G/F, CHEONG WONG BUILDING, 28 SOUTH WALL ROAD, KOWLOON CITY, KOWLOON",No,2017-10-06
CR-2003-00300,HOP CHEONG SEA-PRODUCTS COMPANY LIMITED,No,S2,"G/F, 189 CHEUNG SHA WAN RD, KOWLOON",No,2017-10-06
CR-2003-00304,TAK SANG TONG EASTERN & WESTERN MEDICINE CO.,Yes,S2,"SHOP 201, SIU HONG COURT SHOPPING CENTRE, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00307,TAI ON MEDICINE CO.,Yes,S1 & S2,"G/F, 18 TAK LUNG FRONT STREET, SAI KUNG, N.T.",No,2017-10-06
CR-2003-00309,CHIU TAK TONG MEDICINE CO.,Yes,S1 & S2,"G/F, NO. 6 SAN TSUEN, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00312,MEE HEUNG YUEN,No,S2,"G/F, 112 QUEEN'S ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00313,HIP HING MEDICINE & DRUG CO.,Yes,S1 & S2,"SHOP 2, G/F, 22 CHEUNG FAT STREET, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-00317,FRIENDSHIP MEDICINE CO.,Yes,S2,"SHOP NO 10, ON KAY COMMERCIAL CENTRE, KOWLOON",No,2017-10-06
CR-2003-00318,PO ON TONG,Yes,S1 & S2,"BLK H, G/F, SHUN FAT LAU, LOT 283 KAU YUK ROAD, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00323,KUNG HING SEA PRODUCT,No,S2,"BLK B, 1/F, OVERSEAS TRUST BANK BLDG, 51-57 DES VOEUX RD WEST, HONG KONG",No,2017-10-06
CR-2003-00325,HOP SHING LOONG TRADING CO.,No,S2,"G/F, 169 QUEEN'S ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00327,FUNG WAH (HK) COMPANY (O/B HONOUR ESSENCE TRADING LIMITED),No,S2,"BLK A, 21/F, SUN YING IND CTR, 9 TIN WAN CLOSE, HONG KONG",No,2017-10-06
CR-2003-00328,TAK HING GINSENG COMPANY LIMITED,No,S2,"G/F, 92 BONHAM STRAND E, HONG KONG",No,2017-10-06
CR-2003-00331,KWONG LEE LOONG,No,S2,"FLAT/RM E1, G/F, KO SHING BLDG, 48-66 KO SHING ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00335,"KAI TAI CHINESE MEDICINE (HOLDINGS) CO., LIMITED",Yes,S2,"SHOP UNIT 147, THE LANE, HANG HAU, TSEUNG KWAN O, N.T.",No,2017-10-06
CR-2003-00338,TUNG LUNG FUNG MEDICINE CO.,Yes,S2,"FLAT/RM 13, L2/F, JADE PLAZA, 3 ON CHEE ROAD, TAI PO, N.T.",No,2017-10-06
CR-2003-00339,NG FUNG MEDICINE COMPANY,Yes,S1 & S2,"SHOP 42, TIN YAN MARKET, TIN YAN ESTATE, TIN SHUI WAI, N.T.",No,2017-10-06
CR-2003-00340,WING CHEONG MEDICINE & SEAFOOD,Yes,S1 & S2,"G/F, 48 SHANGHAI STREET, KOWLOON",No,2017-10-06
CR-2003-00342,SHUN WO GINSENG AND SEAFOOD COMPANY,Yes,S1 & S2,"G/F, 3A WATERLOO RD, KOWLOON",No,2017-10-06
CR-2003-00343,KAM FUNG MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 4B, G/F, TUNG WAI COMM BLDG, 26 FLEMING ROAD, WAN CHAI, HONG KONG",No,2017-10-06
CR-2003-00344,SHANG HING GINSENG HERBS & SEAFOOD CO.,Yes,S1 & S2,"G/F, 96 SHUI WO ST, KWUN TONG, KOWLOON",No,2017-10-06
CR-2003-00346,NGAI HOI DISPENSARY LIMITED,Yes,S1 & S2,"SHOP 2114, 2/F, LOK FU PLACE, 198 JUNCTION ROAD, KOWLOON",No,2017-10-06
CR-2003-00349,"TAI FUNG GINSENG MEDICINE CO., LIMITED",Yes,S2,"G/F, 837 CANTON RD, HONG KONG",No,2017-10-06
CR-2003-00350,SANG CHEONG MEDICINE CO.,Yes,S2,"STALL NO 301, TAI YUEN MARKET, TAI PO, N.T.",No,2017-10-06
CR-2003-00352,CHONG SANG HERB & MEDICINE LIMITED,Yes,S1 & S2,"G/F, 4 BULKELY ST, HUNG HOM, KOWLOON",No,2017-10-06
CR-2003-00354,LAI HING GROCERY,No,S2,"STALL SS4, G/F, TAI HING EST SHOPPING ARC MKT, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00355,WING WAH MEDICINE CO.,Yes,S1 & S2,"A1, G/F, 45 SHANGHAI ST, KOWLOON",No,2017-10-06
CR-2003-00357,MEI YI LIN FOOD STORE,No,S2,"FLAT A270 & 272, 1/F, SMARTLAND, 36-60 TEXACO RD, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00361,CHINESE MEDICINES FAIR,Yes,S1 & S2,"SHOP A261-A262, 1/F, EAST ASIA GDNS, 36-60 TEXACO RD, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00363,TAI ON MEDICINE HONG (O/B TURN LUCK INVESTMENT LIMITED),Yes,S1 & S2,"G/F, YUNG WOON BLDG, 53-55 CHIK SHUN STREET, TAI WAI, SHA TIN, N.T.",No,2017-10-06
CR-2003-00364,CA LOK BIRD'S NEST SHOP,No,S2,"SHOP NO 9, LEVEL 1, SOUTH WING, TREND PLAZA, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00365,PO KEE,No,S2,"SIDE DOOR NO 2, 130 DES VOEUX RD WEST, HONG KONG",No,2017-10-06
